date,1. open,2. high,3. low,4. close,5. volume
2021-06-25,154.36,154.54,153.547,153.755,0.0
2021-06-24,154.35,154.509,153.61,154.35,0.0
2021-06-23,154.99,155.113,153.822,155.02,0.0
2021-06-22,154.377,155.133,154.23,154.344,0.0
2021-06-21,153.673,154.248,153.08,153.68,0.0
2021-06-20,152.233,153.408,151.31,152.251,0.0
2021-06-17,153.737,153.741,152.135,153.758,0.0
2021-06-16,154.876,155.0,153.403,154.93,0.0
2021-06-15,155.005,155.373,154.96,154.994,0.0
2021-06-14,155.25,155.472,154.548,155.254,0.0
2021-06-13,154.89,155.287,154.324,154.882,0.0
2021-06-10,155.0,155.194,154.83,155.012,0.0
2021-06-09,154.72,155.196,154.137,154.674,0.0
2021-06-08,154.897,155.302,154.498,154.883,0.0
2021-06-07,154.907,155.067,154.572,154.891,0.0
2021-06-06,155.244,155.244,154.54,155.23,0.0
2021-06-03,155.56,155.719,155.02,155.55,0.0
2021-06-02,155.29,155.798,155.29,155.296,0.0
2021-06-01,154.961,155.496,154.961,154.984,0.0
2021-05-31,155.736,155.92,154.978,155.764,0.0
2021-05-30,155.862,155.862,155.29,155.836,0.0
2021-05-27,155.993,156.038,155.592,155.946,0.0
2021-05-26,154.079,155.764,153.834,154.086,0.0
2021-05-25,153.89,154.326,153.769,153.847,0.0
2021-05-24,154.04,154.426,153.81,154.069,0.0
2021-05-23,154.0,154.1425,153.773,154.01,0.0
2021-05-20,154.382,154.653,154.035,154.403,0.0
2021-05-19,154.129,154.269,153.658,154.11,0.0
2021-05-18,154.424,154.785,153.565,154.442,0.0
2021-05-17,154.595,154.813,154.505,154.538,0.0
2021-05-16,154.254,154.264,153.72,154.279,0.0
2021-05-13,153.83,154.251,153.61,153.821,0.0
2021-05-12,154.243,154.297,153.572,154.194,0.0
2021-05-11,153.667,154.416,153.529,153.65,0.0
2021-05-10,153.769,153.941,153.176,153.798,0.0
2021-05-09,152.432,153.841,152.399,152.4,0.0
2021-05-06,151.467,152.021,151.3,151.512,0.0
