2021.11.09,1.15794,1.15994,7735
2021.11.09,1.15696,1.1596,15498
2021.11.09,1.1587,1.15919,8411
2021.11.09,1.1577,1.15801,4945
2021.11.08,1.15639,1.15858,16769
2021.11.08,1.15824,1.15856,7766
2021.11.08,1.15551,1.15683,13294
2021.11.08,1.15504,1.1561,14294
2021.11.08,1.15539,1.15547,8309
2021.11.08,1.15531,1.15598,5422
2021.11.05,1.1548200000000002,1.15658,9595
2021.11.05,1.15132,1.15632,27358
2021.11.05,1.15471,1.15491,11709
2021.11.05,1.15408,1.15574,7509
2021.11.05,1.15469,1.15511,5977
2021.11.05,1.15133,1.15144,23393
2021.11.04,1.1605299999999998,1.16123,3753
2021.11.04,1.15905,1.15905,5508
2021.11.04,1.15488,1.15527,13686
2021.11.04,1.1528200000000002,1.15437,25357
2021.11.04,1.15424,1.15621,20590
2021.11.04,1.15427,1.15529,8958
2021.11.03,1.15718,1.16104,43137
2021.11.03,1.15772,1.15835,15168
2021.11.03,1.15783,1.15855,7987
2021.11.03,1.15772,1.15833,4065
2021.11.03,1.15622,1.15825,18827
2021.11.03,1.1574799999999998,1.1579700000000002,2025
2021.11.02,1.1587,1.15884,14841
2021.11.02,1.15949,1.16037,7015
2021.11.02,1.15858,1.1607,16405
2021.11.02,1.1575,1.15778,19322
2021.11.02,1.15952,1.1596799999999998,5714
2021.11.02,1.15769,1.15783,6541
2021.11.01,1.1588200000000002,1.16048,7962
2021.11.01,1.1565299999999998,1.15917,18628
2021.11.01,1.15615,1.15774,14690
2021.11.01,1.15469,1.1572,15564
2021.11.01,1.15513,1.1555,5327
2021.11.01,1.15458,1.15513,6594
2021.10.29,1.16765,1.16842,6247
2021.10.29,1.16637,1.16641,6723
2021.10.29,1.16489,1.16505,15387
2021.10.29,1.1621,1.16255,19602
2021.10.29,1.15349,1.15382,31700
2021.10.29,1.15377,1.15613,8550
2021.10.28,1.16243,1.16782,35748
2021.10.28,1.1671,1.16786,10217
2021.10.28,1.15821,1.16297,28187
2021.10.28,1.15831,1.15898,15912
2021.10.28,1.15891,1.16065,8256
2021.10.28,1.15899,1.15925,3836
2021.10.27,1.15847,1.16179,18062
2021.10.27,1.15879,1.16086,25126
2021.10.27,1.15986,1.1602,9461
2021.10.27,1.15919,1.15947,14256
2021.10.27,1.15975,1.16032,5124
2021.10.27,1.1584,1.16022,6832
2021.10.26,1.16054,1.16176,14929
2021.10.26,1.15847,1.15867,15402
2021.10.26,1.15939,1.16084,12794
2021.10.26,1.15989,1.16039,2927
2021.10.26,1.15966,1.16042,6144
2021.10.26,1.15865,1.15947,4824
2021.10.25,1.16392,1.16598,8015
2021.10.25,1.16409,1.16498,14779
2021.10.25,1.15904,1.15946,17548
2021.10.25,1.16351,1.16455,5153
2021.10.25,1.16052,1.16052,4393
2021.10.25,1.15934,1.16054,15358
2021.10.22,1.16217,1.1632,23991
2021.10.22,1.16231,1.1641,13691
2021.10.22,1.16244,1.1637,12818
2021.10.22,1.1624,1.16429,6744
2021.10.22,1.16246,1.16258,6574
2021.10.22,1.16211,1.16256,3829
2021.10.21,1.16504,1.16514,8010
2021.10.21,1.16427,1.16565,3337
2021.10.21,1.16339,1.16418,12478
2021.10.21,1.16339,1.1635799999999998,16166
2021.10.21,1.1631,1.16431,13958
2021.10.21,1.16185,1.16218,7860
2021.10.20,1.16468,1.16486,8262
2021.10.20,1.1635799999999998,1.1656,15106
2021.10.20,1.16167,1.16258,12414
2021.10.20,1.16326,1.16507,6667
2021.10.20,1.1621,1.16385,11742
2021.10.20,1.16276,1.16347,4738
2021.10.19,1.16454,1.16456,14399
