2020.09.29,00:00,1.16599,1.16839,1.16585,1.16769,2778
2020.09.29,04:00,1.16771,1.16791,1.16673,1.16765,3997
2020.09.29,08:00,1.16767,1.16866,1.16653,1.16836,21716
2020.09.29,12:00,1.16835,1.17146,1.16812,1.17035,25417
2020.09.29,16:00,1.17037,1.17440,1.16953,1.17380,29622
2020.09.29,20:00,1.17379,1.17458,1.17322,1.17429,9149
2020.09.30,00:00,1.17427,1.17486,1.17363,1.17365,2009
2020.09.30,04:00,1.17379,1.17553,1.17278,1.17345,6792
2020.09.30,08:00,1.17343,1.17431,1.17065,1.17099,23751
2020.09.30,12:00,1.17097,1.17190,1.16939,1.17101,25552
2020.09.30,16:00,1.17102,1.17519,1.16845,1.17217,40838
2020.09.30,20:00,1.17219,1.17286,1.17093,1.17196,17134
2020.10.01,00:00,1.17196,1.17320,1.17162,1.17186,2550
2020.10.01,04:00,1.17186,1.17486,1.17179,1.17473,5866
2020.10.01,08:00,1.17474,1.17579,1.17224,1.17248,27751
2020.10.01,12:00,1.17247,1.17699,1.17237,1.17550,34741
2020.10.01,16:00,1.17551,1.17594,1.17212,1.17452,41406
2020.10.01,20:00,1.17450,1.17510,1.17352,1.17460,12750
2020.10.02,00:00,1.17434,1.17479,1.17340,1.17349,2440
2020.10.02,04:00,1.17351,1.17373,1.17033,1.17060,6242
2020.10.02,08:00,1.17062,1.17418,1.16959,1.17141,36440
2020.10.02,12:00,1.17135,1.17339,1.16986,1.17087,31553
2020.10.02,16:00,1.17086,1.17250,1.16996,1.17179,35565
2020.10.02,20:00,1.17178,1.17218,1.17098,1.17162,11516
2020.10.05,00:00,1.17104,1.17292,1.17017,1.17255,4623
2020.10.05,04:00,1.17257,1.17360,1.17216,1.17322,4860
2020.10.05,08:00,1.17325,1.17501,1.17201,1.17492,19013
2020.10.05,12:00,1.17493,1.17697,1.17466,1.17642,19588
2020.10.05,16:00,1.17644,1.17979,1.17643,1.17869,24731
2020.10.05,20:00,1.17868,1.17880,1.17715,1.17847,8382
2020.10.06,00:00,1.17847,1.17933,1.17784,1.17911,2464
2020.10.06,04:00,1.17912,1.17989,1.17863,1.17888,5474
2020.10.06,08:00,1.17887,1.18004,1.17656,1.17779,21020
2020.10.06,12:00,1.17779,1.18081,1.17733,1.17917,22204
2020.10.06,16:00,1.17914,1.18030,1.17731,1.17813,27105
2020.10.06,20:00,1.17811,1.17906,1.17319,1.17338,26214
2020.10.07,00:00,1.17334,1.17409,1.17303,1.17357,3324
2020.10.07,04:00,1.17355,1.17355,1.17252,1.17340,5984
2020.10.07,08:00,1.17338,1.17675,1.17300,1.17582,20341
2020.10.07,12:00,1.17580,1.17822,1.17497,1.17788,24742
2020.10.07,16:00,1.17787,1.17793,1.17581,1.17720,27094
2020.10.07,20:00,1.17718,1.17755,1.17600,1.17632,9493
2020.10.08,00:00,1.17601,1.17706,1.17584,1.17654,2409
2020.10.08,04:00,1.17653,1.17722,1.17598,1.17688,5125
2020.10.08,08:00,1.17689,1.17820,1.17561,1.17610,17451
2020.10.08,12:00,1.17609,1.17693,1.17523,1.17556,18863
2020.10.08,16:00,1.17553,1.17583,1.17327,1.17550,23861
