USDSEK	米ドル/スウェーデンクローナ	49.0pips	24.9pips	888倍	月曜6:05～土曜5:50
USDSGD	米ドル/シンガポールドル	20.0pips	6.5pips	888倍	月曜6:05～土曜5:50
USDTRY	米ドル/トルコリラ	35.0pips	15.0pips	888倍	月曜6:05～土曜5:50
USDZAR	米ドル/南アフリカランド	11.0pips	8.0pips	888倍	月曜6:05～土曜5:50
 

XMの通貨ペア コモディティー
商品名	スプレッド	レバレッジ	取引時間(夏)	メンテナンス時間(夏)
COCOA	1.1pips	50倍	月曜日16:50～土曜日01:25	平日01:25～15:20
COFFE	7.0pips	50倍	平日17:20～土曜日02:25	平日2:25～17:20
CORN	22.0pips	50倍	月曜日08:05～土曜日03:10	平日20:40～21:35、02:10～08:05
COTTO	4.4pips	50倍	月曜日09:05～土曜日02:15	平日02:15～09:05
HGCOP	7.0pips	50倍	月曜日06:05～土曜日04:10	平日04:55～06：05
SBEAN	1.0pips	50倍	月曜日08:05～土曜日03:10	平日20:40～21:35、02:10～08:05
SUGAR	0.8pips	50倍	月曜日15:35～土曜日00:55	平日00:55～15:35
WHEAT	12.0pips	50倍	月曜日08:05～土曜日03:10	平日20:40～21:35、02:10～08:05
 

XMの通貨ペア 株価指数
商品名	日本語訳	スプレッド
現物	スプレッド
先物	レバレッジ	取引時間(夏)	メンテナンス時間(夏)
AUS200	豪S&P/ASX200	30.0pips	×	100倍	月曜日6:55～土曜日03:10	平日13:25～14:10
EU50	欧Stocks	21.0pips	30.0pips	100倍	月曜日14:05～土曜日03:55	平日03:55～14:05
IT40	イタリアFTSE MIB40	1.3pips	×	100倍	月曜日16:05～土曜日00:35	平日00:35～16:05
CHI50	中国A株50	1.6pips	1.8pips	66.7倍	月曜日09:05～土曜日04:10	平日16:25～17:05、04:40～09:05
GER30	独DAX30	20.0pips	40.0pips	100倍	月曜日06:05～土曜日04:10	平日04:15～04:30、04:55～06：05
FRA40	仏カック40	18.0pips	30.0pips	100倍	月曜日14:05～土曜日03:55	平日03:55～14:05
HK50	香港ハンセン50	1.4pips	×	66.7倍	月曜日9:20～土曜日00:55	平日11:55～13:05、16:25～17:20
JP225	日経225	1.2pips	2.4pips	200倍	月曜日06:05～土曜日04:10	平日04:15～04:30、04:55～06：05
NETH25	オランダAEX25	6.0pips	×	100倍	月曜日15:05～土曜日4:55	平日04:55～15:05
POL20	ワルシャワ20	0.3pips	×	50倍	月曜日16:05～金曜日23:55	平日23:45～16:05
USDX	米ドル指数	×	5.0pips	100倍	月曜日08:05～土曜日04:10	平日04:55～08:05
US500	米S&P500	7.0pips	11.0pips	100倍	月曜日06:05～土曜日04:10	平日04:15～04:30、04:55～06：05
US30	米ダウ30	20.0pips	60.0pips	100倍	月曜日06:05～土曜日04:10	平日04:15～04:30、04:55～06：05
US100	米ナスダック100	20.0pips	45.0pips	100倍	月曜日06:05～土曜日04:10	平日04:15～04:30、04:55～06：05
UK100	英FTSE100	15.0pips	30.0pips	100倍	月曜日06:05～土曜日04:10	平日04:15～04:30、04:55～06：05
SWI20	スイスSMI20	50.0pips	60.0pips	100倍	月曜日14:05～土曜日03:55	平日03:55～14:05
SPAIN35	スペインIBEX35	0.7pips	×	100倍	月曜日16:35～土曜日2:55	平日2:55～16:05
SING	シンガポールST指数	6.0pips	9.5pips	66.7倍	月曜日08:35～土曜日04:10	平日17:05～17:45、04:40～08:35
 

XMの通貨ペア エネルギー
商品名	スプレッド	レバレッジ	取引時間(夏)	メンテナンス時間(夏)
BRENT	0.5pips	66.7倍	月曜日08:05～土曜日04:10	平日05:55～08:05
GSOIL	15.0pips	33.3倍	月曜日08:05～土曜日04:10	平日04:55～08:05
NGAS	3.0pips	33.3倍	月曜日06:05～土曜日04:10	平日04:55～06：05
OIL	0.5pips	66.7倍	月曜日06:05～土曜日04:10	平日04:55～06：05
OILMN	0.5pips	66.7倍	月曜日06:05～土曜日04:10	平日04:55～06：05
 

XMの通貨ペア 貴金属
商品名	最小スプレッド	平均スプレッド	レバレッジ	取引時間(夏)	メンテナンス時間(夏)
GOLD	3.0pips	3.5pips	888倍	月曜06:05～土曜05:50	平日05:55～06:05
SILVER	3.0pips	3.6pips	888倍	月曜06:05～土曜05:50	平日05:55～06:05
PALL	40.0pips	–	22.2倍	月曜06:05～土曜05:50	平日05:55～06:05
PLAT	30.0pips	–	22.2倍	月曜06:05～土曜05:50	平日05:55～06:05
 

XMの通貨ペア 仮想通貨
商品名	スプレッド	レバレッジ	取引時間(夏)	メンテナンス時間(夏)
BTCUSD	50.0pips	2倍	月曜日5:05～土曜日4:50	平日4:50～5:05
DSHUSD	3.0pips	2倍	月曜日5:05～土曜日4:50	平日4:50～5:05
ETHUSD	3.0pips	2倍	月曜日5:05～土曜日4:50	平日4:50～5:05
LTCUSD	0.4pips	2倍	月曜日5:05～土曜日4:50	平日4:50～5:05
XRPUSD	0.2pips	2倍	月曜日5:05～土曜日4:50	平日4:50～5:05
